,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,siderno,20,IT,1535666100,83,38.28,16.3,77.0,3.36
389,grand gaube,40,MU,1535666400,68,-20.01,57.66,69.8,5.82
390,ust-nera,0,RU,1535670668,57,64.57,143.24,55.49,2.62
391,alyangula,0,AU,1535670346,91,-13.85,136.42,77.99,7.76
392,verkhoyansk,64,RU,1535670669,74,67.55,133.39,54.32,8.66
393,ouro fino,0,BR,1535670669,77,-22.28,-46.37,58.19,3.85
394,tocopilla,8,CL,1535670669,100,-22.09,-70.2,57.11,5.75
395,hervey bay,0,AU,1535670670,81,-25.3,152.85,69.98,10.67
396,jiangyou,56,CN,1535670670,95,31.78,104.73,71.96,4.63
397,oxapampa,80,PE,1535670671,95,-10.58,-75.4,53.24,1.16
398,heiligenhafen,100,DE,1535670671,100,54.37,10.98,61.61,28.45
399,kholm,80,RU,1535670671,92,57.15,31.18,53.51,2.84
400,tecoanapa,75,MX,1535669580,70,16.99,-99.26,86.0,3.36
401,vokhtoga,44,RU,1535670672,68,58.81,41.03,64.94,13.69
402,nyurba,20,RU,1535670672,84,63.29,118.35,59.72,5.08
403,san patricio,48,PY,1535670347,96,-26.98,-56.83,68.72,3.74
404,kargopol,44,RU,1535670672,85,61.51,38.95,61.61,11.9
405,jasper,1,US,1535668500,55,33.83,-87.28,91.4,3.62
406,nordby,0,DK,1535667600,87,55.45,8.41,51.8,5.82
407,nyazepetrovsk,0,RU,1535670674,87,56.06,59.6,44.69,5.19
408,bubaque,92,GW,1535670674,100,11.28,-15.83,77.45,20.29
409,kralendijk,40,BQ,1535666100,70,12.15,-68.27,86.0,16.11
410,touros,76,BR,1535670280,91,-5.2,-35.46,74.12,16.6
411,tadine,0,NC,1535670369,94,-21.55,167.88,71.06,10.78
412,pyapon,92,MM,1535670676,100,16.29,95.68,73.85,12.01
413,ryotsu,75,JP,1535670000,94,38.08,138.43,77.0,12.75
414,okha,92,RU,1535670337,100,53.59,142.95,54.59,21.3
415,amot,0,NO,1535670404,82,59.57,7.99,36.5,2.17
416,andra,0,RU,1535670677,91,62.52,65.89,39.92,6.2
417,papetoai,20,PF,1535666400,58,-17.5,-149.87,82.4,10.29
418,brae,80,GB,1535667600,87,60.4,-1.35,48.2,3.36
419,changji,32,CN,1535670678,88,32.07,116.17,81.59,3.51
420,raudeberg,24,NO,1535667600,93,61.99,5.14,48.2,4.7
421,san francisco,20,US,1535668500,44,37.78,-122.42,76.64,9.17
422,okhtyrka,0,UA,1535670681,66,50.31,34.89,60.53,5.19
423,pakokku,48,MM,1535670681,97,21.33,95.09,74.39,1.95
424,strezhevoy,40,RU,1535668200,93,60.73,77.6,41.0,8.95
425,adrar,0,DZ,1535666400,18,27.87,-0.29,93.2,13.87
426,vila,75,IT,1535667600,69,45.18,8.4,73.4,2.24
427,isangel,0,VU,1535670683,100,-19.55,169.27,72.77,14.58
428,ostrovnoy,8,RU,1535670349,75,68.05,39.51,54.68,18.28
429,yanggu,92,CN,1535670683,99,25.39,116.32,70.52,2.62
430,sao gabriel da cachoeira,76,BR,1535670684,93,-0.13,-67.09,74.93,2.73
431,maroantsetra,68,MG,1535670684,100,-15.43,49.74,65.84,7.76
432,amga,68,RU,1535670684,87,60.89,131.98,57.29,4.18
433,lavumisa,0,ZA,1535670685,86,-27.31,31.88,51.08,3.51
434,westport,0,IE,1535670407,95,53.8,-9.52,52.61,12.01
435,vestmannaeyjar,92,IS,1535670634,100,63.44,-20.27,50.45,30.69
436,tuatapere,0,NZ,1535670305,100,-46.13,167.69,49.1,7.43
437,aurdal,0,NO,1535670686,95,60.92,9.42,40.73,2.39
438,pangnirtung,75,CA,1535666400,81,66.15,-65.72,42.8,6.93
439,beringovskiy,0,RU,1535670343,89,63.05,179.32,54.32,11.9
440,lakes entrance,92,AU,1535670503,77,-37.88,147.99,53.78,7.65
441,yumen,92,CN,1535670687,62,40.29,97.04,58.46,0.94
442,namanyere,0,TZ,1535670687,62,-7.51,31.05,51.26,4.85
443,laibin,92,CN,1535670688,100,23.74,109.23,72.86,4.07
444,nouakchott,36,MR,1535670633,100,18.08,-15.98,77.45,9.1
445,dong hoi,24,VN,1535670688,92,17.48,106.6,82.49,20.07
446,camopi,36,GF,1535670688,54,3.17,-52.33,84.38,3.96
447,agua verde,40,MX,1535669460,66,22.89,-105.97,89.6,13.87
448,nhulunbuy,0,AU,1535668200,74,-12.18,136.78,78.8,6.93
449,antsohihy,32,MG,1535670665,72,-14.88,47.99,71.33,9.78
450,kathmandu,75,NP,1535669400,100,27.71,85.32,69.8,1.95
451,mildura,92,AU,1535670445,100,-34.18,142.16,51.98,13.91
452,aiquile,0,BO,1535670691,72,-18.2,-65.18,50.81,2.39
453,verkhnyaya khava,0,RU,1535668200,59,51.84,39.93,66.2,6.71
454,iaciara,0,BR,1535670605,38,-14.1,-46.63,75.11,12.35
455,choma,0,ZM,1535670692,72,-16.81,26.98,48.83,6.2
456,aksu,0,KZ,1535668200,93,52.04,76.93,46.4,3.96
457,wajima,92,JP,1535670693,100,37.4,136.9,73.31,16.82
458,chapais,1,CA,1535666400,47,49.78,-74.86,55.4,8.05
459,arlit,36,NE,1535670694,47,18.74,7.39,82.49,8.1
460,lavrentiya,0,RU,1535670356,91,65.58,-170.99,46.67,8.66
461,khammam,80,IN,1535670695,92,17.25,80.15,72.68,1.72
462,mykolayivka,0,UA,1535670695,56,47.54,30.76,66.38,5.53
463,sao joao da barra,0,BR,1535666400,83,-21.64,-41.05,71.6,6.93
464,goundam,48,ML,1535670696,69,16.42,-3.66,80.96,8.55
465,makubetsu,75,JP,1535668800,100,42.84,143.34,62.6,2.24
466,guangyuan,100,CN,1535670697,99,32.43,105.86,69.62,2.39
467,miramar,90,CR,1535670000,94,10.09,-84.73,71.6,8.05
468,nisia floresta,20,BR,1535670000,78,-6.09,-35.21,75.2,12.75
469,svarstad,0,NO,1535667600,82,59.4,9.97,55.4,5.82
470,bandipur,88,IN,1535670698,96,11.67,76.63,64.49,1.95
471,beloha,0,MG,1535670394,82,-25.17,45.06,62.42,12.8
472,kita,20,JP,1535668200,66,35.76,139.74,87.8,9.17
473,prince rupert,90,CA,1535669880,100,54.32,-130.32,55.4,3.36
474,grantham,0,GB,1535667600,81,52.91,-0.64,53.6,8.05
475,benguela,88,AO,1535670699,100,-12.58,13.4,66.56,3.74
476,atbasar,88,KZ,1535670318,98,51.81,68.36,57.74,9.22
477,norden,92,DE,1535667900,82,53.59,7.21,57.2,3.36
478,ganzhou,92,CN,1535670700,99,25.86,114.93,73.58,4.18
479,havre,1,US,1535665980,22,48.55,-109.68,80.06,9.17
480,nemuro,92,JP,1535670325,92,43.32,145.57,62.33,16.37
481,taltal,32,CL,1535670701,87,-25.41,-70.49,50.54,1.83
482,batagay,44,RU,1535670701,72,67.65,134.64,57.02,13.24
483,sangar,88,RU,1535670121,82,63.92,127.47,57.2,10.67
484,cabra,0,ES,1535668200,50,37.47,-4.43,78.8,5.82
485,erdenet,92,MN,1535670702,100,49.03,104.04,55.13,3.74
486,kutum,12,SD,1535670264,41,14.2,24.66,78.17,5.75
487,mayo,90,CA,1535666400,87,63.59,-135.9,46.4,3.62
488,le port,64,FR,1535670294,90,42.87,1.37,51.98,1.16
489,labuhan,32,ID,1535670703,83,-2.54,115.51,76.82,2.73
490,koutiala,8,ML,1535670703,91,12.39,-5.46,73.67,3.74
491,tangier,0,GB,1535667600,87,51.02,-3.11,55.4,2.24
492,tefe,0,BR,1535669100,88,-3.35,-64.71,80.6,8.05
493,coxim,0,BR,1535670704,68,-18.5,-54.75,75.74,2.73
494,makat,0,KZ,1535670705,50,47.65,53.35,57.38,3.4
495,qaqortoq,0,GL,1535665800,48,60.72,-46.03,44.6,23.04
496,benjamin aceval,24,PY,1535670000,54,-24.97,-57.57,82.4,4.7
497,dingzhou,80,CN,1535670000,100,38.51,115.0,69.8,2.24
498,carballo,0,ES,1535668200,88,43.21,-8.69,62.6,2.24
499,belmonte,0,PT,1535670706,81,40.36,-7.35,61.7,3.62
500,alice springs,0,AU,1535668200,30,-23.7,133.88,57.2,5.82
501,antequera,0,PY,1535670707,38,-24.09,-57.2,83.66,5.97
502,garowe,0,SO,1535670707,60,8.41,48.48,77.54,18.28
503,marovoay,20,MG,1535666400,83,-16.11,46.64,73.4,12.8
504,uvinza,0,TZ,1535670708,61,-5.1,30.39,62.33,2.62
505,camacha,40,PT,1535668200,73,33.08,-16.33,71.6,17.22
506,vertientes,20,CU,1535669400,78,21.26,-78.15,82.4,14.99
507,bauta,75,CU,1535669700,88,22.98,-82.55,75.2,4.07
508,terrace,75,CA,1535666400,55,54.52,-128.61,66.2,18.34
509,gobo,75,JP,1535668800,94,33.89,135.15,84.2,5.82
510,dera bugti,0,PK,1535670711,67,29.03,69.15,78.26,2.73
511,maceio,90,BR,1535670000,88,-9.67,-35.74,71.6,4.7
512,krasnyye tkachi,44,RU,1535670712,87,57.49,39.76,60.26,7.65
513,manggar,0,ID,1535670712,85,-2.88,108.27,81.05,9.33
514,chokurdakh,0,RU,1535670333,54,70.62,147.9,61.7,12.8
515,tabou,24,CI,1535670713,100,4.42,-7.36,78.08,9.22
516,atotonilco el alto,92,MX,1535670713,81,20.55,-102.51,68.54,2.17
517,ilhavo,0,PT,1535668200,93,40.6,-8.67,60.8,3.36
518,ipilan,0,PH,1535670714,100,8.84,117.9,83.03,3.4
519,emerald,0,AU,1535670714,48,-23.53,148.16,72.14,11.79
520,tessalit,8,ML,1535670714,33,20.2,1.01,80.69,7.65
521,takoradi,68,GH,1535670442,100,4.89,-1.75,75.74,7.54
522,uzhur,44,RU,1535670715,88,55.32,89.85,45.86,2.95
523,mufulira,8,ZM,1535670715,53,-12.55,28.24,62.69,9.44
524,brandfort,0,ZA,1535666400,35,-28.7,26.46,46.4,2.24
525,state college,40,US,1535669580,65,40.79,-77.86,84.02,2.17
526,nurlat,8,RU,1535670716,85,54.43,50.8,60.44,8.66
527,port macquarie,88,AU,1535666400,58,-31.43,152.91,57.2,10.29
528,manzanillo,36,CU,1535670717,100,20.34,-77.12,84.29,14.81
529,honiara,20,SB,1535666400,78,-9.43,159.96,82.4,3.74
530,jalu,0,LY,1535670718,52,29.03,21.55,75.56,1.95
531,sunbury,20,US,1535666160,60,40.86,-76.79,87.8,3.36
532,ligayan,92,PH,1535670718,100,4.65,119.47,83.57,6.53
533,monte alegre,0,BR,1535670700,54,-2.0,-54.07,84.74,3.96
534,bavly,0,RU,1535670719,84,54.4,53.24,53.69,6.42
535,houma,56,CN,1535670719,78,35.63,111.36,71.24,3.06
536,bogorodskoye,92,RU,1535670720,99,52.37,140.44,57.29,3.51
